year,Local Authority Code,Region,Local Authority [Note 4],Buses - Motorways,Buses - A roads,Buses - Minor roads,Buses total,Diesel cars - Motorways,Diesel cars - A roads,Diesel cars - Minor roads,Diesel cars total,Petrol cars - Motorways,Petrol cars - A roads,Petrol cars - Minor roads,Petrol cars total,Motorcycles - Motorways,Motorcycles - A roads,Motorcycles - Minor roads,Motorcycles total,HGV - Motorways,HGV - A roads,HGV - Minor roads,HGV total,Diesel LGV - Motorways,Diesel LGV - A roads,Diesel LGV - Minor roads,Diesel LGV total,Petrol LGV - Motorways,Petrol LGV - A roads,Petrol LGV - Minor roads,Petrol LGV total,"Personal transport (buses, cars and motorcycles)",Freight transport (HGV and LGV)[Note 5],Fuel consumption by all vehicles,of which: bioenergy [Note 6]
2005-01-01,K02000001,United Kingdom,United Kingdom total,115.83253244004474,643.0421519145397,813.263484263268,1572.1381686178524,1471.7145410964506,2939.8598768587535,2213.717244858505,6625.291662813709,2886.3829590376345,8752.799136980077,6675.383432416487,18314.5655284342,20.491744455696267,92.75755629306006,110.1183233446013,223.36762409335762,3093.0013460790806,3488.380976568564,650.6692627807201,7232.051585428366,817.2111927478945,1821.5589761365566,1583.6516638339517,4222.421832718403,72.99193559357651,204.34160973925555,191.36316950661987,468.6967148394519,26735.362983959116,11923.17013298622,38658.533116945335,68.09531187502405
2006-01-01,K02000001,United Kingdom,United Kingdom total,134.86797382416492,664.605153748688,819.5147186206576,1618.9878461935104,1633.9708079527754,3244.4495951126796,2498.486473770023,7376.906876835477,2806.430318011639,8582.25079970991,6608.146003058951,17996.827120780497,21.413873713713084,93.61893802695063,100.7289937716681,215.76180551233182,3117.1997984377786,3522.0917804323076,695.4802361084938,7334.771814978581,856.9636946043961,1891.877174509006,1650.4357693887791,4399.2766385021805,75.09462661947856,208.3776951961581,191.80479200830226,475.277113823939,27208.483649321817,12209.3255673047,39417.80921662652,184.3859872981679
2007-01-01,K02000001,United Kingdom,United Kingdom total,113.7440947844009,644.8189656406308,896.3616246969857,1654.9246851220173,1778.760621673385,3459.9319941212943,2814.5406791662062,8053.233294960885,2699.5565157799942,8209.591949537888,6597.323723945061,17506.472189262942,21.400890445812966,95.402092300496,120.95700804613884,237.7599907924478,3151.169214504719,3570.4087507180657,732.3770853447895,7453.955050567574,888.5056192933008,1990.490132609664,1763.1514471889966,4642.147199091962,68.07541838753039,191.8151004955672,176.92270601890593,436.8132249020035,27452.390160138293,12532.91547456154,39985.305634699835,360.0104196519823
2008-01-01,K02000001,United Kingdom,United Kingdom total,109.61088133099666,621.3307561029201,815.1914811007256,1546.1331185346423,1917.5381395188558,3749.996548158166,3196.2965005354727,8863.831188212494,2514.372005482404,7706.221700900321,6249.172756900557,16469.766463283282,22.428775795375607,93.39612783040387,104.98183318866168,220.80673681444117,3016.283308717142,3396.2558781371927,858.0824888645597,7270.621675718894,862.0649339883814,1935.6847518061709,1854.0682229896092,4651.817908784162,60.36560941264245,170.2252681641032,161.46999683028827,392.0608744070339,27100.537506844863,12314.500458910088,39415.03796575495,864.084673090484
2009-01-01,K02000001,United Kingdom,United Kingdom total,102.04670183960515,621.5386971016812,806.9331980100724,1530.5185969513586,1904.375265333557,3823.6866349801394,3277.4544743481138,9005.51637466181,2535.2574253696216,7618.056649838516,6095.529656440356,16248.843731648494,21.7595016719257,95.0481679400117,111.76936493729687,228.57703454923427,2768.3664719715007,3110.4336998526164,744.7343174565217,6623.534489280639,857.682456724202,1923.4246814058629,1810.8771866983527,4591.984324828418,56.0228189043544,157.89699793314787,145.6661010619506,359.58591789945285,27013.455737810902,11575.104732008509,38588.56046981941,1056.019068618095
2010-01-01,K02000001,United Kingdom,United Kingdom total,106.27185473073156,638.4589170182736,807.5556389998562,1552.2864107488613,1910.846457797174,3927.1264298431997,3386.292345454943,9224.265233095317,2400.9730114402437,7212.864669036621,5953.637360218277,15567.475040695143,20.69137885024254,87.154745498353,102.15883856331801,210.00496291191354,2846.4286913984834,3116.4789539913227,722.9791612969058,6685.886806686712,853.9506490198145,1936.3066653219332,1901.19756931662,4691.454883658367,49.7482021233181,141.78481461976975,141.30706350248707,332.84008024557494,26554.031647451233,11710.181770590654,38264.21341804189,1223.0366113000644
2011-01-01,K02000001,United Kingdom,United Kingdom total,102.58444857684991,628.6931813810093,713.6132674449327,1444.8908974027918,2080.424760328628,4204.156384962265,3550.1317248364085,9834.712870127301,2271.7018068519183,6850.619100275881,5906.8610879356775,15029.181995063478,19.8209823076253,87.15758283326285,106.27834151159331,213.25690665248146,2789.2613583442712,3110.4350150217456,623.0233517404666,6522.719725106484,893.6065789558482,2018.7813289150765,1881.4368204715004,4793.824728342425,47.302510997618135,133.904726474197,129.4023382397593,310.60957571157445,26522.042669246046,11627.154029160483,38149.19669840653,1144.8750194170204
2012-01-01,K02000001,United Kingdom,United Kingdom total,99.2240416667633,640.894047372018,628.8025741190655,1368.9206631578468,2232.228855881043,4410.850413893849,3717.248266965313,10360.327536740204,2138.0403037557926,6468.993211158573,5837.346418030984,14444.379932945349,18.0619065599079,81.76399916840755,111.08992490707413,210.91583063538957,2800.3491612892717,3118.24344182469,497.5864900421038,6416.179093156065,946.1076384549986,2055.6862153036564,1841.1515192271847,4842.94537298584,45.17759768606622,121.95684279770526,119.52455286482684,286.6589933485983,26384.543963478787,11545.783459490503,37930.32742296929,990.0969182765604
2013-01-01,K02000001,United Kingdom,United Kingdom total,99.62452690719799,627.9301842235297,680.068299482251,1407.6230106129788,2346.6964316320937,4561.407468781344,3969.810830510689,10877.914730924127,2010.0758849708043,6158.84482847285,5679.056083352186,13847.97679679584,18.43788735461099,82.31530308780489,101.09381247356062,201.8470029159765,2845.7925368967217,3106.2290498410953,539.6585282575903,6491.680114995408,987.6302145323476,2105.337056969171,1942.490896525822,5035.45816802734,43.15363428704448,113.40254106546959,114.1043117651789,270.660487117693,26335.36154124892,11797.798770140442,38133.160311389365,1144.4863694499181
2014-01-01,K02000001,United Kingdom,United Kingdom total,94.91937427314912,620.6842382753545,699.6838013494796,1415.2874138979832,2427.539986168954,4743.0051297229975,4317.47051113978,11488.015627031731,1946.2347705226834,6031.683315372976,5795.129027051172,13773.047112946831,18.031453183340336,86.80741811724914,107.36277587985185,212.20164718044134,2914.2565346930974,3144.1257745240364,629.9260153002512,6688.308324517385,1024.7707233503388,2226.634860428772,2129.75266852741,5381.158252306521,41.00246599059234,108.72374517273104,111.56950800362635,261.2957191669497,26888.551801056987,12330.762295990855,39219.31409704784,1299.8023028666362
