fuelType,year,annual_mileage
Petrol,2020,5675.0502703044885
Pure electric,2008,2570.285185185186
Diesel,2005,21202.361472868219
Pure electric,2020,7840.2226334624684
Diesel,2016,10376.604465786872
Hybrid,2018,10790.694827617335
Hybrid,2013,10449.765294649793
Other,2012,10928.254922172635
Pure electric,2023,9893.003092742254
Other,2014,10736.490968673155
Hybrid,2006,11084.602416469073
Pure electric,2006,2903.6757142857141
Pure electric,2022,9033.5001612015385
Other,2007,11302.510372407954
Other,2019,10344.429712725854
Other,2022,9691.1683017195573
Pure electric,2017,7795.9941367420188
Pure electric,2009,2639.4136697247718
Diesel,2018,9781.6360334931815
Hybrid,2017,10998.586613323916
Hybrid,2014,10562.156376872448
Pure electric,2016,7308.25259754505
Petrol,2022,5705.6145486849664
Petrol,2010,7446.7892627724887
Hybrid,2007,11413.26844657844
Petrol,2014,6830.7945359241421
Pure electric,2014,6132.1684269921734
Other,2006,11592.582457473765
Diesel,2008,13395.736782103606
Diesel,2009,12850.801877593964
Diesel,2011,11807.032318609243
Hybrid,2011,10788.465041089
Petrol,2005,49860.237547169818
Other,2011,10943.881529306082
Pure electric,2015,6928.2379503649618
Pure electric,2019,8139.8128483138053
Other,2005,19846.12
Diesel,2022,8203.9174065971019
Petrol,2011,7201.2740182253856
Hybrid,2019,10561.817870967507
Other,2020,9315.7958452554722
Petrol,2007,7907.5264683448877
Other,2016,10127.260826959313
Diesel,2010,12319.008036247644
Petrol,2015,6725.0328874120978
Diesel,2015,10644.794975212139
Diesel,2017,10112.599653022999
Petrol,2019,6303.5113634752906
Diesel,2023,8364.4811897680938
Petrol,2016,6624.4504679291385
Pure electric,2021,8039.9959884578575
Hybrid,2020,9350.3172544394
Pure electric,2012,4919.7220807174872
Hybrid,2023,10544.863179739048
Diesel,2007,13556.733158649726
Petrol,2013,6902.2069713193723
Pure electric,2011,2939.07502512563
Petrol,2018,6390.1948425523487
Other,2008,11033.582909848716
Diesel,2020,8273.2602606095279
Hybrid,2008,11355.621136346461
Hybrid,2010,11026.094658066253
Other,2009,11070.448767753811
Petrol,2021,5072.0913492966183
Other,2015,10484.035653710249
Petrol,2009,7652.1414332242357
Hybrid,2015,10716.697488712913
Pure electric,2013,5175.6462079784833
Hybrid,2016,10857.634602913917
Pure electric,2007,2418.0082352941176
Pure electric,2010,2643.02
Hybrid,2022,9744.7691860830746
Diesel,2014,10936.202744069991
Pure electric,2018,8108.7672371148938
Diesel,2006,13823.414765828489
Other,2010,11099.944652023398
Diesel,2021,7205.45660181923
Petrol,2006,7992.3208318145571
Diesel,2013,11172.831523112143
Diesel,2019,9498.0013916844982
Hybrid,2012,10567.744892082444
Diesel,2012,11480.718074287026
Other,2013,10851.279190757657
Petrol,2023,5854.9080160275516
Hybrid,2009,11334.829570746013
Hybrid,2021,8754.2673929122375
Other,2021,8157.8423319723615
Petrol,2008,7855.2605638589666
Petrol,2012,7065.9132090568773
Other,2018,9935.5651018905028
Other,2017,9936.5035046675112
Other,2023,10506.184650735289
Petrol,2017,6531.1318890495313
