,Geography,Date Interval,Date,Units,BodyType,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas,Other fuel types,Total,Plug-in,Zero emission
0,England,Annual,2001,Thousands,Buses and coaches,0.218,8.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,9.007,0.0,0.0
1,England,Annual,2002,Thousands,Buses and coaches,0.148,10.437,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.018,0.002,10.608,0.003,0.003
2,England,Annual,2003,Thousands,Buses and coaches,0.124,11.429,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.033,0.002,11.591,0.003,0.003
3,England,Annual,2004,Thousands,Buses and coaches,0.253,10.959,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.006,0.001,11.221,0.002,0.002
4,England,Annual,2005,Thousands,Buses and coaches,0.099,10.568,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.004,0.0,10.677,0.006,0.006
5,England,Annual,2006,Thousands,Buses and coaches,0.121,10.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,10.165,0.0,0.0
6,England,Annual,2007,Thousands,Buses and coaches,0.119,10.091,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,10.213,0.003,0.003
7,England,Annual,2008,Thousands,Buses and coaches,0.077,9.966,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,10.044,0.001,0.001
8,England,Annual,2009,Thousands,Buses and coaches,0.049,8.288,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,8.338,0.001,0.001
9,England,Annual,2010,Thousands,Buses and coaches,0.038,7.679,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.006,0.001,7.73,0.006,0.006
10,England,Annual,2011,Thousands,Buses and coaches,0.042,7.309,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.002,0.001,7.366,0.012,0.012
11,England,Annual,2012,Thousands,Buses and coaches,0.028,8.537,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,8.582,0.017,0.017
12,England,Annual,2013,Thousands,Buses and coaches,0.044,7.514,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.048,0.0,7.628,0.022,0.022
13,England,Annual,2014,Thousands,Buses and coaches,0.038,6.999,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.064,0.0,7.141,0.04,0.04
14,England,Annual,2015,Thousands,Buses and coaches,0.082,8.133,0.001,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,8.235,0.019,0.019
15,England,Annual,2016,Thousands,Buses and coaches,0.089,8.572,0.002,0.0,0.0,0.0,0.059,0.0,0.0,0.002,0.0,8.724,0.059,0.059
16,England,Annual,2017,Thousands,Buses and coaches,0.067,7.458,0.002,0.0,0.0,0.0,0.039,0.0,0.0,0.045,0.0,7.611,0.039,0.039
17,England,Annual,2018,Thousands,Buses and coaches,0.051,6.708,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.057,0.001,6.907,0.09,0.09
18,England,Annual,2019,Thousands,Buses and coaches,0.061,5.712,0.0,0.028,0.0,0.0,0.119,0.0,0.001,0.077,0.001,5.999,0.119,0.12
19,England,Annual,2020,Thousands,Buses and coaches,0.048,3.947,0.001,0.0,0.0,0.0,0.276,0.0,0.001,0.067,0.0,4.34,0.276,0.277
20,England,Annual,2021,Thousands,Buses and coaches,0.055,2.936,0.0,0.0,0.0,0.0,0.367,0.0,0.017,0.01,0.0,3.385,0.367,0.384
21,England,Quarterly,2001 Q1 (January to March),Thousands,Buses and coaches,0.078,2.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,2.185,0.0,0.0
22,England,Quarterly,2001 Q2 (April to June),Thousands,Buses and coaches,0.042,2.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,2.381,0.0,0.0
23,England,Quarterly,2001 Q3 (July to September),Thousands,Buses and coaches,0.046,2.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,2.341,0.0,0.0
24,England,Quarterly,2001 Q4 (October to December),Thousands,Buses and coaches,0.052,2.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,2.1,0.0,0.0
25,England,Quarterly,2002 Q1 (January to March),Thousands,Buses and coaches,0.041,2.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,2.409,0.0,0.0
26,England,Quarterly,2002 Q2 (April to June),Thousands,Buses and coaches,0.035,2.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,3.033,0.0,0.0
