monthOfFirstRegistration,fuelType,total
2001-03-01 00:00:00.000000 UTC,PETROL,2956
2004-04-01 00:00:00.000000 UTC,PETROL,1966
2005-10-01 00:00:00.000000 UTC,DIESEL,1823
2003-12-01 00:00:00.000000 UTC,DIESEL,907
2004-07-01 00:00:00.000000 UTC,PETROL,1776
2007-06-01 00:00:00.000000 UTC,PETROL,3043
2006-11-01 00:00:00.000000 UTC,DIESEL,1563
2005-06-01 00:00:00.000000 UTC,DIESEL,3651
2005-03-01 00:00:00.000000 UTC,DIESEL,5027
2005-09-01 00:00:00.000000 UTC,DIESEL,3815
2001-12-01 00:00:00.000000 UTC,PETROL,446
2008-03-01 00:00:00.000000 UTC,DIESEL,5705
2009-04-01 00:00:00.000000 UTC,DIESEL,2137
2005-05-01 00:00:00.000000 UTC,PETROL,2129
2003-04-01 00:00:00.000000 UTC,PETROL,2116
2002-02-01 00:00:00.000000 UTC,DIESEL,2275
2003-06-01 00:00:00.000000 UTC,DIESEL,2853
2020-10-01 00:00:00.000000 UTC,ELECTRIC DIESEL,99
2020-11-01 00:00:00.000000 UTC,PETROL,1719
2020-03-01 00:00:00.000000 UTC,DIESEL,1397
2020-01-01 00:00:00.000000 UTC,PETROL,3589
2020-01-01 00:00:00.000000 UTC,DIESEL,1906
2004-12-01 00:00:00.000000 UTC,PETROL,696
2020-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,704
2008-09-01 00:00:00.000000 UTC,PETROL,2286
2007-05-01 00:00:00.000000 UTC,PETROL,2435
2009-01-01 00:00:00.000000 UTC,PETROL,2719
2006-01-01 00:00:00.000000 UTC,DIESEL,5017
2004-01-01 00:00:00.000000 UTC,DIESEL,4397
2007-11-01 00:00:00.000000 UTC,PETROL,1178
2020-06-01 00:00:00.000000 UTC,PETROL,2069
2020-07-01 00:00:00.000000 UTC,DIESEL,1194
2002-06-01 00:00:00.000000 UTC,DIESEL,2286
2002-06-01 00:00:00.000000 UTC,PETROL,2197
2003-11-01 00:00:00.000000 UTC,DIESEL,1336
2001-09-01 00:00:00.000000 UTC,GAS BI-FUEL,19
2002-03-01 00:00:00.000000 UTC,DIESEL,3392
2008-07-01 00:00:00.000000 UTC,DIESEL,2553
2001-05-01 00:00:00.000000 UTC,PETROL,2030
2009-08-01 00:00:00.000000 UTC,PETROL,1945
2004-08-01 00:00:00.000000 UTC,DIESEL,1925
2001-11-01 00:00:00.000000 UTC,PETROL,1230
2009-02-01 00:00:00.000000 UTC,PETROL,1756
2004-10-01 00:00:00.000000 UTC,PETROL,1385
2005-11-01 00:00:00.000000 UTC,PETROL,1219
2007-01-01 00:00:00.000000 UTC,DIESEL,6004
2002-10-01 00:00:00.000000 UTC,DIESEL,1633
2004-06-01 00:00:00.000000 UTC,DIESEL,3379
2004-12-01 00:00:00.000000 UTC,DIESEL,879
2002-09-01 00:00:00.000000 UTC,DIESEL,2487
2001-10-01 00:00:00.000000 UTC,DIESEL,1411
2010-11-01 00:00:00.000000 UTC,DIESEL,1531
2010-08-01 00:00:00.000000 UTC,PETROL,1251
2010-12-01 00:00:00.000000 UTC,PETROL,568
2011-05-01 00:00:00.000000 UTC,PETROL,1354
2011-11-01 00:00:00.000000 UTC,PETROL,863
2011-08-01 00:00:00.000000 UTC,PETROL,1273
2014-07-01 00:00:00.000000 UTC,PETROL,1618
2011-05-01 00:00:00.000000 UTC,DIESEL,2732
2012-01-01 00:00:00.000000 UTC,DIESEL,4508
2012-10-01 00:00:00.000000 UTC,DIESEL,1665
2013-03-01 00:00:00.000000 UTC,DIESEL,4777
2012-02-01 00:00:00.000000 UTC,DIESEL,2851
2012-08-01 00:00:00.000000 UTC,PETROL,1309
2013-03-01 00:00:00.000000 UTC,PETROL,3117
2013-06-01 00:00:00.000000 UTC,DIESEL,3394
2013-05-01 00:00:00.000000 UTC,PETROL,1752
2013-09-01 00:00:00.000000 UTC,PETROL,2670
2013-04-01 00:00:00.000000 UTC,DIESEL,2852
2014-06-01 00:00:00.000000 UTC,PETROL,2466
2014-08-01 00:00:00.000000 UTC,PETROL,1411
2014-01-01 00:00:00.000000 UTC,PETROL,2926
2014-09-01 00:00:00.000000 UTC,PETROL,2848
2014-04-01 00:00:00.000000 UTC,HYBRID ELECTRIC,26
2014-12-01 00:00:00.000000 UTC,PETROL,728
2015-04-01 00:00:00.000000 UTC,DIESEL,2766
2015-08-01 00:00:00.000000 UTC,PETROL,1515
2015-12-01 00:00:00.000000 UTC,PETROL,693
2016-09-01 00:00:00.000000 UTC,DIESEL,3682
2016-01-01 00:00:00.000000 UTC,DIESEL,4400
2016-03-01 00:00:00.000000 UTC,PETROL,3624
2016-02-01 00:00:00.000000 UTC,PETROL,1925
2016-12-01 00:00:00.000000 UTC,DIESEL,1182
2017-09-01 00:00:00.000000 UTC,DIESEL,3103
2017-01-01 00:00:00.000000 UTC,DIESEL,4254
2017-12-01 00:00:00.000000 UTC,DIESEL,1065
2017-11-01 00:00:00.000000 UTC,PETROL,1524
2017-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,240
2017-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,127
2017-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,124
2018-10-01 00:00:00.000000 UTC,PETROL,2499
2018-05-01 00:00:00.000000 UTC,DIESEL,2332
2018-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,424
2018-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,248
2018-05-01 00:00:00.000000 UTC,PETROL,3180
2018-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,281
2018-01-01 00:00:00.000000 UTC,HYBRID ELECTRIC,250
2019-03-01 00:00:00.000000 UTC,DIESEL,3620
2019-12-01 00:00:00.000000 UTC,PETROL,1644
2019-06-01 00:00:00.000000 UTC,DIESEL,2387
2019-08-01 00:00:00.000000 UTC,DIESEL,1404
2019-08-01 00:00:00.000000 UTC,PETROL,2243
2019-01-01 00:00:00.000000 UTC,DIESEL,2964
2019-06-01 00:00:00.000000 UTC,PETROL,4047
2019-04-01 00:00:00.000000 UTC,HYBRID ELECTRIC,253
2019-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,500
2019-09-01 00:00:00.000000 UTC,ELECTRIC DIESEL,25
2021-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,721
2021-09-01 00:00:00.000000 UTC,PETROL,1873
2021-03-01 00:00:00.000000 UTC,PETROL,2620
2021-04-01 00:00:00.000000 UTC,PETROL,1961
2021-02-01 00:00:00.000000 UTC,ELECTRIC DIESEL,83
2021-07-01 00:00:00.000000 UTC,DIESEL,378
2021-06-01 00:00:00.000000 UTC,ELECTRICITY,272
2021-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,755
2021-01-01 00:00:00.000000 UTC,ELECTRICITY,145
2021-03-01 00:00:00.000000 UTC,ELECTRICITY,280
2021-05-01 00:00:00.000000 UTC,ELECTRICITY,199
2010-03-01 00:00:00.000000 UTC,OTHER,1
2008-12-01 00:00:00.000000 UTC,DIESEL,807
2004-02-01 00:00:00.000000 UTC,DIESEL,2580
2002-07-01 00:00:00.000000 UTC,DIESEL,2130
2002-11-01 00:00:00.000000 UTC,DIESEL,1203
2001-12-01 00:00:00.000000 UTC,DIESEL,440
