monthOfFirstRegistration,fuelType,total
2006-10-01 00:00:00.000000 UTC,DIESEL,484
2017-08-01 00:00:00.000000 UTC,DIESEL,430
2009-09-01 00:00:00.000000 UTC,DIESEL,587
2017-10-01 00:00:00.000000 UTC,DIESEL,365
2018-03-01 00:00:00.000000 UTC,DIESEL,1492
2017-04-01 00:00:00.000000 UTC,DIESEL,447
2015-10-01 00:00:00.000000 UTC,DIESEL,506
2015-11-01 00:00:00.000000 UTC,DIESEL,412
2014-08-01 00:00:00.000000 UTC,DIESEL,367
2011-06-01 00:00:00.000000 UTC,DIESEL,569
2009-07-01 00:00:00.000000 UTC,DIESEL,291
2008-02-01 00:00:00.000000 UTC,DIESEL,923
2012-04-01 00:00:00.000000 UTC,DIESEL,326
2015-03-01 00:00:00.000000 UTC,DIESEL,1269
2014-09-01 00:00:00.000000 UTC,DIESEL,762
2006-07-01 00:00:00.000000 UTC,DIESEL,564
2004-04-01 00:00:00.000000 UTC,DIESEL,437
2011-09-01 00:00:00.000000 UTC,DIESEL,724
2008-09-01 00:00:00.000000 UTC,DIESEL,643
2001-09-01 00:00:00.000000 UTC,DIESEL,303
2011-02-01 00:00:00.000000 UTC,DIESEL,432
2007-08-01 00:00:00.000000 UTC,DIESEL,543
2003-09-01 00:00:00.000000 UTC,DIESEL,574
2005-07-01 00:00:00.000000 UTC,DIESEL,487
2006-04-01 00:00:00.000000 UTC,DIESEL,621
2010-01-01 00:00:00.000000 UTC,DIESEL,616
2012-11-01 00:00:00.000000 UTC,DIESEL,254
2016-10-01 00:00:00.000000 UTC,DIESEL,447
2014-11-01 00:00:00.000000 UTC,DIESEL,374
2007-07-01 00:00:00.000000 UTC,DIESEL,648
2005-05-01 00:00:00.000000 UTC,DIESEL,603
2005-02-01 00:00:00.000000 UTC,DIESEL,664
2011-01-01 00:00:00.000000 UTC,DIESEL,647
2002-01-01 00:00:00.000000 UTC,DIESEL,331
2004-09-01 00:00:00.000000 UTC,DIESEL,742
2006-05-01 00:00:00.000000 UTC,DIESEL,723
2015-02-01 00:00:00.000000 UTC,DIESEL,622
2002-12-01 00:00:00.000000 UTC,DIESEL,303
2019-05-01 00:00:00.000000 UTC,DIESEL,593
2019-04-01 00:00:00.000000 UTC,DIESEL,466
2019-07-01 00:00:00.000000 UTC,DIESEL,435
2020-02-01 00:00:00.000000 UTC,DIESEL,547
2021-08-01 00:00:00.000000 UTC,DIESEL,438
2021-09-01 00:00:00.000000 UTC,DIESEL,386
2007-08-01 00:00:00.000000 UTC,PETROL,3
2019-07-01 00:00:00.000000 UTC,PETROL,5
2020-12-01 00:00:00.000000 UTC,PETROL,1
2019-03-01 00:00:00.000000 UTC,ELECTRICITY,1
2009-03-01 00:00:00.000000 UTC,PETROL,2
2003-01-01 00:00:00.000000 UTC,DIESEL,525
2011-08-01 00:00:00.000000 UTC,DIESEL,269
2021-09-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2007-03-01 00:00:00.000000 UTC,PETROL,2
2001-11-01 00:00:00.000000 UTC,DIESEL,202
2021-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,1
2018-08-01 00:00:00.000000 UTC,PETROL,5
2022-01-01 00:00:00.000000 UTC,DIESEL,484
2017-12-01 00:00:00.000000 UTC,ELECTRICITY,1
2001-08-01 00:00:00.000000 UTC,DIESEL,170
2001-07-01 00:00:00.000000 UTC,DIESEL,177
2004-01-01 00:00:00.000000 UTC,PETROL,4
2004-09-01 00:00:00.000000 UTC,PETROL,2
2005-10-01 00:00:00.000000 UTC,PETROL,4
2005-01-01 00:00:00.000000 UTC,PETROL,1
2006-07-01 00:00:00.000000 UTC,PETROL,4
2006-12-01 00:00:00.000000 UTC,PETROL,1
2001-01-01 00:00:00.000000 UTC,DIESEL,3
2004-11-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2005-10-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2006-02-01 00:00:00.000000 UTC,PETROL,3
2007-10-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2020-07-01 00:00:00.000000 UTC,PETROL,1
2021-01-01 00:00:00.000000 UTC,PETROL,2
2014-09-01 00:00:00.000000 UTC,ELECTRICITY,1
2015-06-01 00:00:00.000000 UTC,ELECTRICITY,1
2016-05-01 00:00:00.000000 UTC,ELECTRICITY,1
2017-08-01 00:00:00.000000 UTC,ELECTRICITY,1
2017-03-01 00:00:00.000000 UTC,ELECTRICITY,4
2017-02-01 00:00:00.000000 UTC,ELECTRICITY,1
2017-09-01 00:00:00.000000 UTC,ELECTRICITY,2
2018-06-01 00:00:00.000000 UTC,ELECTRICITY,2
2018-01-01 00:00:00.000000 UTC,ELECTRICITY,1
2018-11-01 00:00:00.000000 UTC,ELECTRICITY,2
2020-08-01 00:00:00.000000 UTC,ELECTRICITY,2
2001-08-01 00:00:00.000000 UTC,PETROL,1
2021-04-01 00:00:00.000000 UTC,ELECTRICITY,4
2008-07-01 00:00:00.000000 UTC,PETROL,1
2008-06-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2009-11-01 00:00:00.000000 UTC,PETROL,2
2007-02-01 00:00:00.000000 UTC,PETROL,1
2012-10-01 00:00:00.000000 UTC,ELECTRICITY,3
2012-04-01 00:00:00.000000 UTC,ELECTRICITY,3
2013-05-01 00:00:00.000000 UTC,ELECTRICITY,1
2013-02-01 00:00:00.000000 UTC,ELECTRICITY,1
2015-08-01 00:00:00.000000 UTC,ELECTRICITY,1
2015-05-01 00:00:00.000000 UTC,ELECTRICITY,1
2018-08-01 00:00:00.000000 UTC,ELECTRICITY,1
