fuelType,year,annual_mileage
Other,2006,14118.109932038837
Diesel,2008,16361.890756987279
Diesel,2009,15946.460771528878
Diesel,2011,15042.713589202125
Petrol,2005,189833.015
Hybrid,2011,11419.93
Diesel,2006,16471.35654619967
Other,2010,13291.028076074977
Diesel,2021,10949.731017850112
Petrol,2006,8626.3824290929588
Diesel,2013,14302.814687450171
Diesel,2019,12189.991249756775
Hybrid,2012,12998.463333333333
Petrol,2009,9540.6510124706783
Pure electric,2013,4611.1603389830507
Hybrid,2015,11474.482857142855
Petrol,2007,8783.5460917810778
Other,2016,8178.02602704443
Diesel,2010,15434.632837991719
Diesel,2015,13701.552166261148
Petrol,2015,7887.4442560927646
Diesel,2017,12938.848103952503
Petrol,2019,7305.64350066977
Diesel,2018,12522.855379222361
Hybrid,2017,11683.062487046629
Pure electric,2016,4824.8912477823751
Hybrid,2014,12582.263333333334
Petrol,2014,8391.0938557586614
Pure electric,2014,4285.9722172948987
Hybrid,2007,20735.8375
Hybrid,2021,10447.928543543547
Other,2021,5691.2075961538485
Petrol,2023,7965.1515401184715
Hybrid,2009,20735.8375
Hybrid,2016,11682.838849557518
Pure electric,2010,5181.6646666666657
Diesel,2023,10212.052019726571
Petrol,2016,7226.262113017533
Petrol,2020,7422.9131852014016
Pure electric,2020,5407.4790633227112
Diesel,2005,19133.925696202536
Pure electric,2008,7951.597142857142
Diesel,2022,10640.512549237801
Petrol,2011,9721.7701848791585
Other,2020,6250.7884360625585
Hybrid,2019,10791.700113636361
Diesel,2007,16284.061711250104
Petrol,2013,8886.8260892602466
Hybrid,2023,10479.92276923077
Pure electric,2011,3304.6894444444442
Other,2008,14328.690139778675
Petrol,2018,6962.9883982477058
Other,2011,12945.927089833243
Petrol,2017,6755.1680178522147
Diesel,2020,11490.670586689395
Other,2009,13935.493222775011
Hybrid,2008,20735.8375
Hybrid,2010,17617.862500000003
Diesel,2014,14071.618367823276
Pure electric,2018,4838.4742029403287
Hybrid,2022,10818.930382263008
Pure electric,2022,5592.4192566637457
Other,2007,14322.190253082425
Other,2019,6654.1520863309333
Other,2022,5967.47046688382
Pure electric,2017,4886.8827229299322
Pure electric,2009,6288.7681818181818
Petrol,2021,7475.3934261882314
Other,2015,10015.293276073609
Diesel,2012,14662.588305679123
Other,2013,11152.928857625209
Pure electric,2015,4671.1300297619027
Pure electric,2019,5167.947755235602
Pure electric,2021,5471.1332671190621
Hybrid,2020,10589.616805111822
Pure electric,2012,3288.9161764705877
Other,2012,11990.015035655508
Diesel,2016,13304.420231396629
Hybrid,2018,11114.846305084746
Hybrid,2013,11512.3
Petrol,2008,9525.2848213248053
Petrol,2012,9457.1141840831988
Other,2017,7457.0195121951192
Other,2018,6920.2171502590654
Other,2023,6124.5574675324688
Petrol,2022,7656.33427250582
Petrol,2010,9627.4720952274747
Pure electric,2023,6068.0402876569015
Other,2014,10627.694753231497
